かんじる | kanjiru | feel | [sound:ic_jp_kanjiru.mp3] 
ぎゅうにゅう | gyūnyū | milk | [sound:ic_jp_gyūnyū.mp3] 
こおり | kōri | ice | [sound:ic_jp_kōri.mp3] 
ココア | kokoa | cocoa | [sound:ic_jp_kokoa.mp3] 
ソフトドリンク | sofuto dorinku | soft drink | [sound:ic_jp_sofuto_dorinku.mp3] 
ジュース | jūsu | juice | [sound:ic_jp_jūsu.mp3] 
こめ | kome | rice | [sound:ic_jp_kome.mp3] 
パン | pan | bread | [sound:ic_jp_pan.mp3] 
たまご | tamago | egg | [sound:ic_jp_tamago.mp3] 
めん | men | noodle | [sound:ic_jp_men.mp3] 
びょうき | byōki | illness | [sound:ic_jp_byōki.mp3] 
かぜ | kaze | cold | [sound:ic_jp_kaze.mp3] 
けが | kega | injury | [sound:ic_jp_kega.mp3] 
くすり | kusuri | medicine | [sound:ic_jp_kusuri.mp3] 
いたみ　 | itami | pain | [sound:ic_jp_itami.mp3] 
ずつう | zutsū | headache | [sound:ic_jp_zutsū.mp3] 
げり | geri | diarrhea | [sound:ic_jp_geri.mp3] 
しょうじょう | shōjō | symptom | [sound:ic_jp_shōjō.mp3] 
いつう | itsū | stomachache | [sound:ic_jp_itsū.mp3] 
ねつ | netsu | fever | [sound:ic_jp_netsu.mp3] 
まど | mado | window | [sound:ic_jp_mado.mp3] 
コンピューター | konpyūtā | computer | [sound:ic_jp_konpyūtā.mp3] 
テレビ | terebi | television | [sound:ic_jp_terebi.mp3] 
ほんだな | hondana | bookshelf | [sound:ic_jp_hondana.mp3] 
ベッド | beddo | bed | [sound:ic_jp_beddo.mp3] 
かがみ | kagami | mirror | [sound:ic_jp_kagami.mp3] 
たんす | tansu | dresser | [sound:ic_jp_tansu.mp3] 
めざましどけい | mezamashidokei | alarm clock | [sound:ic_jp_mezamashidokei.mp3] 
ドア | doa | door | [sound:ic_jp_doa.mp3] 
リモコン | rimokon | remote control | [sound:ic_jp_rimokon.mp3] 
ふく | fuku | wipe | [sound:ic_jp_fuku.mp3] 
そうじする | sōji suru | clean | [sound:ic_jp_sōji_suru.mp3] 
かわかす | kawakasu | dry | [sound:ic_jp_kawakasu.mp3] 
ほこりをはらう | hokorio o harau | dust | [sound:ic_jp_hokorio_o_harau.mp3] 
そうじきをかける | sōjiki o kakeru | vacuum | [sound:ic_jp_sōjiki_o_kakeru.mp3] 
はく | haku | sweep | [sound:ic_jp_haku.mp3] 
かたづける | katazukeru | put away | [sound:ic_jp_katazukeru.mp3] 
モップをかける | moppu o kakeru | mop | [sound:ic_jp_moppu_o_kakeru.mp3] 
せんたくする | sentaku suru | wash | [sound:ic_jp_sentaku_suru.mp3] 
だす | dasu | take out | [sound:ic_jp_dasu.mp3] 
てんきよほう | tenki yohō | weather report | [sound:ic_jp_tenki_yohō.mp3] 
せっし | sesshi | Celsius | [sound:ic_jp_sesshi.mp3] 
かし | kashi | Fahrenheit | [sound:ic_jp_kashi.mp3] 
おんど | ondo | temperature | [sound:ic_jp_ondo.mp3] 
しめった | shimetta | humid | [sound:ic_jp_shimetta.mp3] 
かぜのつよい | kaze no tsuyoi | windy | [sound:ic_jp_kaze_no_tsuyoi.mp3] 
きり | kiri | fog | [sound:ic_jp_kiri.mp3] 
ひょう | hyō | hail | [sound:ic_jp_hyō.mp3] 
らいう | raiu | thunderstorm | [sound:ic_jp_raiu.mp3] 
すいぞくかん | suizokukan | aquarium | [sound:ic_jp_suizokukan.mp3] 
えいが | eiga | movie | [sound:ic_jp_eiga.mp3] 
ざっし | zasshi | magazine | [sound:ic_jp_zasshi.mp3] 
オーディオブック | ōdiobukku | audiobook | [sound:ic_jp_ōdiobukku.mp3] 
テレビゲーム | terebi gēmu | video game | [sound:ic_jp_terebi_gēmu.mp3] 
テレビばんぐみ | terebi bangumi | TV show | [sound:ic_jp_terebi_bangumi.mp3] 
ジョギング | jogingu | jogging | [sound:ic_jp_jogingu.mp3] 
うんどう | undō | exercise | [sound:ic_jp_undō.mp3] 
こうえん | kōen | park | [sound:ic_jp_kōen.mp3] 
あそびば | asobiba | playground | [sound:ic_jp_asobiba.mp3] 
プール | pūru | pool | [sound:ic_jp_pūru.mp3] 
テニス | tenisu | tennis | [sound:ic_jp_tenisu.mp3] 
バスケットボール | basukettobōru | basketball | [sound:ic_jp_basukettobōru.mp3] 
サッカー | sakkā | soccer | [sound:ic_jp_sakkā.mp3] 
どうぶつえん | dōbutsuen | zoo | [sound:ic_jp_dōbutsuen.mp3] 
りょうきん | ryōkin | fare | [sound:ic_jp_ryōkin.mp3] 
バスてい | basutei | bus stop | [sound:ic_jp_basutei.mp3] 
こうさてん | kōsaten | intersection | [sound:ic_jp_kōsaten.mp3] 
こうそくどうろ | kōsokudōro | highway | [sound:ic_jp_kōsokudōro.mp3] 
みち | michi | road | [sound:ic_jp_michi.mp3] 
とおり | tōri | street | [sound:ic_jp_tōri.mp3] 
しんごう | shingō | traffic light | [sound:ic_jp_shingō.mp3] 
ひょうしき | hyōshiki | sign | [sound:ic_jp_hyōshiki.mp3] 
ちかてつ | chikatetsu | subway | [sound:ic_jp_chikatetsu.mp3] 
えき | eki | train station | [sound:ic_jp_eki.mp3] 
