こうしょう | kōshō | negotiation | [sound:ic_jp_kōshō.mp3] 
ろうか | rōka | hallway | [sound:ic_jp_rōka.mp3] 
アパート | apāto | apartment | [sound:ic_jp_apāto.mp3] 
いえ | ie | house | [sound:ic_jp_ie.mp3] 
ホワイトボード | howaitobōdo | whiteboard | [sound:ic_jp_howaitobōdo.mp3] 
こくばん | kokuban | blackboard | [sound:ic_jp_kokuban.mp3] 
テスト | tesuto | test | [sound:ic_jp_tesuto.mp3] 
きょうかしょ | kyōkasho | textbook | [sound:ic_jp_kyōkasho.mp3] 
せいと | seito | student | [sound:ic_jp_seito.mp3] 
せんせい | sensei | teacher | [sound:ic_jp_sensei.mp3] 
きょうしつ | kyōshitsu | classroom | [sound:ic_jp_kyōshitsu.mp3] 
がっこう | gakkō | school | [sound:ic_jp_gakkō.mp3] 
がっこうのいす | gakkō no isu | school chair | [sound:ic_jp_gakkō_no_isu.mp3] 
がっこうのつくえ | gakkō no tsukue | school desk | [sound:ic_jp_gakkō_no_tsukue.mp3] 
こたえる | kotaeru | answer | [sound:ic_jp_kotaeru.mp3] 
おしえる | oshieru | teach | [sound:ic_jp_oshieru.mp3] 
しつもんする | shitsumon suru | ask | [sound:ic_jp_shitsumon_suru.mp3] 
しめる | shimeru | close | [sound:ic_jp_shimeru.mp3] 
よむ | yomu | read | [sound:ic_jp_yomu.mp3] 
あける | akeru | open | [sound:ic_jp_akeru.mp3] 
きく | kiku | listen | [sound:ic_jp_kiku.mp3] 
たんじょうび | tanjōbi | birthday | [sound:ic_jp_tanjōbi.mp3] 
たいしょくする | taishoku suru | retire | [sound:ic_jp_taishoku_suru.mp3] 
そつぎょう | sotsugyō | graduation | [sound:ic_jp_sotsugyō.mp3] 
しょうしん | shōshin | promotion | [sound:ic_jp_shōshin.mp3] 
きねんび | kinenbi | anniversary | [sound:ic_jp_kinenbi.mp3] 
そうぎ | sōgi | funeral | [sound:ic_jp_sōgi.mp3] 
けっこん | kekkon | wedding | [sound:ic_jp_kekkon.mp3] 
いえ | ie | home | [sound:ic_jp_ie.mp3] 
しごと | shigoto | job | [sound:ic_jp_shigoto.mp3] 
たんじょう | tanjō | birth | [sound:ic_jp_tanjō.mp3] 
