あびる | abiru | to bathe, to shower | [sound:ic_nrkt_abiru.mp3]
ひく | hiku | to play | [sound:ic_nrkt_hiku.mp3]
いく | iku | to go; to move | [sound:ic_nrkt_iku.mp3]
いれる | ireru | to put in; to let in; to take in; to bring in; to insert; to install | [sound:ic_nrkt_ireru.mp3]
いる | iru | to be, to have | [sound:ic_nrkt_iru.mp3]
いる | iru | to be needed | [sound:ic_nrkt_iru.mp3]
いう | iu | to say; to call | [sound:ic_nrkt_iu.mp3]
じゅぎょう | jugyou | lesson; class work | [sound:ic_nrkt_jugyou.mp3]
かえる | kaeru | to go back​ | [sound:ic_nrkt_kaeru.mp3]
かえす | kaesu | to return something | [sound:ic_nrkt_kaesu.mp3]
かかる | kakaru | to take (a resource, e.g. time or money) | [sound:ic_nrkt_kakaru.mp3]
かける | kakeru | to hang up; to make (a call)​; | [sound:ic_nrkt_kakeru.mp3]
かく | kaku | to write; to compose; to pen; to draw | [sound:ic_nrkt_kaku.mp3]
かりる | kariru | to borrow | [sound:ic_nrkt_kariru.mp3]
かす | kasu | to lend; to loan | [sound:ic_nrkt_kasu.mp3]
かう | kau | to buy; to purchase | [sound:ic_nrkt_kau.mp3]
けっこん | kekkon | marriage | [sound:ic_nrkt_kekkon.mp3]
けす | kesu | to erase, to turn off power | [sound:ic_nrkt_kesu.mp3]
きえる | kieru | to disappear | [sound:ic_nrkt_kieru.mp3]
きく | kiku | to hear; to listen (to music); to ask; to learn of | [sound:ic_nrkt_kiku.mp3]
きる | kiru | to cut | [sound:ic_nrkt_kiru.mp3]
きる | kiru | to wear | [sound:ic_nrkt_kiru.mp3]
こまる | komaru | to be troubled | [sound:ic_nrkt_komaru.mp3]
 | kopii | copy; photocopy | [sound:ic_nrkt_kopii.mp3]
こたえる | kotaeru | to answer | [sound:ic_nrkt_kotaeru.mp3]
くもる | kumoru | to become cloudy, to become dim | [sound:ic_nrkt_kumoru.mp3]
くる | kuru | to come | [sound:ic_nrkt_kuru.mp3]
まがる | magaru | to turn, to bend | [sound:ic_nrkt_magaru.mp3]
まつ | matsu | to wait​ | [sound:ic_nrkt_matsu.mp3]
みがく | migaku | to polish; to shine; to brush (e.g. teeth) | [sound:ic_nrkt_migaku.mp3]
みる | miru | to see; to look; to watch; to view; to observe | [sound:ic_nrkt_miru.mp3]
みせる | miseru | to show; to display | [sound:ic_nrkt_miseru.mp3]
もつ | motsu | to hold | [sound:ic_nrkt_motsu.mp3]
なく | naku | animal noise. to chirp | [sound:ic_nrkt_naku.mp3]
なくす | nakusu | to lose (something) | [sound:ic_nrkt_nakusu.mp3]
ならべる | naraberu | to line up,to set up | [sound:ic_nrkt_naraberu.mp3]
ならぶ | narabu | to line up,to stand in a line | [sound:ic_nrkt_narabu.mp3]
ならう | narau | to be taught; to learn (from a teacher) | [sound:ic_nrkt_narau.mp3]
ねる | neru | to sleep; to go to bed; to lie down | [sound:ic_nrkt_neru.mp3]
のぼる | noboru | to climb | [sound:ic_nrkt_noboru.mp3]
のむ | nomu | to drink | [sound:ic_nrkt_nomu.mp3]
のる | noru | to get on (train, plane, bus, ship, etc.) | [sound:ic_nrkt_noru.mp3]
ぬぐ | nugu | to take off clothes | [sound:ic_nrkt_nugu.mp3]
おぼえる | oboeru | to remember | [sound:ic_nrkt_oboeru.mp3]
おきる | okiru | to get up; to wake up | [sound:ic_nrkt_okiru.mp3]
おく | oku | to put; to place​ | [sound:ic_nrkt_oku.mp3]
おりる | oriru | to get off | [sound:ic_nrkt_oriru.mp3]
おしえる | oshieru | to teach | [sound:ic_nrkt_oshieru.mp3]
おす | osu | to push; to press​ | [sound:ic_nrkt_osu.mp3]
おわる | owaru | to finish; to end | [sound:ic_nrkt_owaru.mp3]
およぐ | oyogu | to swim | [sound:ic_nrkt_oyogu.mp3]
れんしゅう | renshuu | practice; practicing | [sound:ic_nrkt_renshuu.mp3]
りょこう | ryokou | travel; trip; journey; excursion; tour | [sound:ic_nrkt_ryokou.mp3]
りょうり | ryouri | cuisine | [sound:ic_nrkt_ryouri.mp3]
さく | saku | to bloom | [sound:ic_nrkt_saku.mp3]
さんぽ | sanpo | walk; stroll | [sound:ic_nrkt_sanpo.mp3]
さす | sasu | to stretch out hands, to raise an umbrella | [sound:ic_nrkt_sasu.mp3]
せんたく | sentaku | washing; laundry | [sound:ic_nrkt_sentaku.mp3]
しごと | shigoto | work; job; business | [sound:ic_nrkt_shigoto.mp3]
しまる | shimaru | to close, to be closed | [sound:ic_nrkt_shimaru.mp3]
しめる | shimeru | to tie; to fasten; to tighten​ | [sound:ic_nrkt_shimeru.mp3]
しめる | shimeru | to close; to shut | [sound:ic_nrkt_shimeru.mp3]
しぬ | shinu | to die | [sound:ic_nrkt_shinu.mp3]
しる | shiru | to know | [sound:ic_nrkt_shiru.mp3]
しつもん | shitsumon | question; inquiry | [sound:ic_nrkt_shitsumon.mp3]
そうじ | souji | to clean, to sweep | [sound:ic_nrkt_souji.mp3]
すむ | sumu | to live in; to reside; to inhabit; to dwell; to abide | [sound:ic_nrkt_sumu.mp3]
すう | suu | to smoke, to suck | [sound:ic_nrkt_suu.mp3]
すわる | suwaru | to sit | [sound:ic_nrkt_suwaru.mp3]
たべる | taberu | to eat | [sound:ic_nrkt_taberu.mp3]
たのむ | tanomu | to ask | [sound:ic_nrkt_tanomu.mp3]
たつ | tatsu | to stand; to stand up​ | [sound:ic_nrkt_tatsu.mp3]
 | tesuto | examination; quiz; test | [sound:ic_nrkt_tesuto.mp3]
とぶ | tobu | to fly; to hop | [sound:ic_nrkt_tobu.mp3]
とまる | tomaru | to stop; to come to a halt | [sound:ic_nrkt_tomaru.mp3]
とる | toru | to take a photo or record a film | [sound:ic_nrkt_toru.mp3]
とる | toru | to take; to pick up; to harvest; to earn; to win; to choose | [sound:ic_nrkt_toru.mp3]
つかれる | tsukareru | to get tired | [sound:ic_nrkt_tsukareru.mp3]
つかう | tsukau | to use | [sound:ic_nrkt_tsukau.mp3]
つける | tsukeru | to attach; affix; add; apply | [sound:ic_nrkt_tsukeru.mp3]
 | tsukeru | to turn on | [sound:ic_nrkt_tsukeru.mp3]
つく | tsuku | to arrive at | [sound:ic_nrkt_tsuku.mp3]
つくる | tsukuru | to make | [sound:ic_nrkt_tsukuru.mp3]
つとめる | tsutomeru | to work for someone | [sound:ic_nrkt_tsutomeru.mp3]
うまれる | umareru | to be born | [sound:ic_nrkt_umareru.mp3]
うる | uru | to sell | [sound:ic_nrkt_uru.mp3]
うたう | utau | to sing | [sound:ic_nrkt_utau.mp3]
わかる | wakaru | to understand; to comprehend; to grasp; to see; to get; to follow | [sound:ic_nrkt_wakaru.mp3]
わすれる | wasureru | to forget | [sound:ic_nrkt_wasureru.mp3]
わたる | wataru | to go across | [sound:ic_nrkt_wataru.mp3]
わたす | watasu | to hand over | [sound:ic_nrkt_watasu.mp3]
 | yaru | to do | [sound:ic_nrkt_yaru.mp3]
やすむ | yasumu | to be absent; to take a day off; to rest | [sound:ic_nrkt_yasumu.mp3]
よぶ | yobu | to call out, to invite | [sound:ic_nrkt_yobu.mp3]
よむ | yomu | to read;  to guess; to predict; to read (someone's thoughts) | [sound:ic_nrkt_yomu.mp3]
