 | afurika | Africa | [sound:ic_nrkt_afurika.mp3]
いきもの | ikimono | living thing | [sound:ic_nrkt_ikimono.mp3]
いない | inai | within | [sound:ic_nrkt_inai.mp3]
いなか | inaka | countryside | [sound:ic_nrkt_inaka.mp3]
 | ippai | full | [sound:ic_nrkt_ippai.mp3]
いし | ishi | stone | [sound:ic_nrkt_ishi.mp3]
いっしょうけんめい | isshoukenmei | very hard; with utmost effort | [sound:ic_nrkt_isshoukenmei.mp3]
いと | ito | thread | [sound:ic_nrkt_ito.mp3]
 | jamu | jam | [sound:ic_nrkt_jamu.mp3]
じ | ji | character | [sound:ic_nrkt_ji.mp3]
じだい | jidai | period | [sound:ic_nrkt_jidai.mp3]
じこ | jiko | accident | [sound:ic_nrkt_jiko.mp3]
じむしょ | jimusho | office | [sound:ic_nrkt_jimusho.mp3]
じんじゃ | jinja | Shinto shrine | [sound:ic_nrkt_jinja.mp3]
じんこう | jinkou | population | [sound:ic_nrkt_jinkou.mp3]
じんせい | jinsei | human life | [sound:ic_nrkt_jinsei.mp3]
じしん | jishin | earthquake | [sound:ic_nrkt_jishin.mp3]
じてん | jiten | dictionary | [sound:ic_nrkt_jiten.mp3]
じゆう | jiyuu | freedom | [sound:ic_nrkt_jiyuu.mp3]
じょせい | josei | woman; female | [sound:ic_nrkt_josei.mp3]
じゅんび | junbi | to prepare | [sound:ic_nrkt_junbi.mp3]
じゅうぶん | juubun | enough; sufficient; plenty; adequate; satisfactory | [sound:ic_nrkt_juubun.mp3]
じゅうどう | juudou | judo | [sound:ic_nrkt_juudou.mp3]
じゅうしょ | juusho | address | [sound:ic_nrkt_juusho.mp3]
 | kaaten | curtain | [sound:ic_nrkt_kaaten.mp3]
かべ | kabe | wall | [sound:ic_nrkt_kabe.mp3]
かちょう | kachou | section manager; section chief | [sound:ic_nrkt_kachou.mp3]
かえり | kaeri | return; coming back | [sound:ic_nrkt_kaeri.mp3]
かがく | kagaku | science | [sound:ic_nrkt_kagaku.mp3]
かがみ | kagami | mirror | [sound:ic_nrkt_kagami.mp3]
かいがん | kaigan | coast | [sound:ic_nrkt_kaigan.mp3]
かいぎ | kaigi | meeting; conference; session; assembly | [sound:ic_nrkt_kaigi.mp3]
かいぎしつ | kaigishitsu | conference room; conference hall; council room | [sound:ic_nrkt_kaigishitsu.mp3]
かいじょう | kaijou | assembly hall; meeting place; venue; grounds | [sound:ic_nrkt_kaijou.mp3]
かいわ | kaiwa | conversation | [sound:ic_nrkt_kaiwa.mp3]
かじ | kaji | fire | [sound:ic_nrkt_kaji.mp3]
かっこう | kakkou | appearance | [sound:ic_nrkt_kakkou.mp3]
かみ | kami | hair | [sound:ic_nrkt_kami.mp3]
かない | kanai | (my) wife; inside the home; one's family | [sound:ic_nrkt_kanai.mp3]
かんごふ | kangofu | female nurse | [sound:ic_nrkt_kangofu.mp3]
かんけい | kankei | relationship | [sound:ic_nrkt_kankei.mp3]
かんたん | kantan | simple; easy | [sound:ic_nrkt_kantan.mp3]
かたち | katachi | shape | [sound:ic_nrkt_katachi.mp3]
かわり | kawari | instead; in place | [sound:ic_nrkt_kawari.mp3]
け | ke | hair or fur | [sound:ic_nrkt_ke.mp3]
 | keeki | cake | [sound:ic_nrkt_keeki.mp3]
けが | kega | to injure | [sound:ic_nrkt_kega.mp3]
けいかく | keikaku | to plan | [sound:ic_nrkt_keikaku.mp3]
けいけん | keiken | to experience | [sound:ic_nrkt_keiken.mp3]
けいさつ | keisatsu | police | [sound:ic_nrkt_keisatsu.mp3]
けいざい | keizai | finance, economy | [sound:ic_nrkt_keizai.mp3]
けんぶつ | kenbutsu | sightseeing; visit | [sound:ic_nrkt_kenbutsu.mp3]
けんか | kenka | to quarrel | [sound:ic_nrkt_kenka.mp3]
けんきゅう | kenkyuu | research | [sound:ic_nrkt_kenkyuu.mp3]
けんきゅうしつ | kenkyuushitsu | laboratory | [sound:ic_nrkt_kenkyuushitsu.mp3]
 | keshigomu | eraser | [sound:ic_nrkt_keshigomu.mp3]
けしき | keshiki | scenery | [sound:ic_nrkt_keshiki.mp3]
き | ki | spirit | [sound:ic_nrkt_ki.mp3]
きぶん | kibun | feeling; mood | [sound:ic_nrkt_kibun.mp3]
きかい | kikai | chance; opportunity | [sound:ic_nrkt_kikai.mp3]
きけん | kiken | danger | [sound:ic_nrkt_kiken.mp3]
きもち | kimochi | feeling | [sound:ic_nrkt_kimochi.mp3]
きもの | kimono | kimono; Japanese traditional clothing | [sound:ic_nrkt_kimono.mp3]
きんじょ | kinjo | neighbourhood | [sound:ic_nrkt_kinjo.mp3]
きぬ | kinu | silk | [sound:ic_nrkt_kinu.mp3]
きせつ | kisetsu | season | [sound:ic_nrkt_kisetsu.mp3]
きしゃ | kisha | train | [sound:ic_nrkt_kisha.mp3]
きそく | kisoku | rule | [sound:ic_nrkt_kisoku.mp3]
こ | ko | child | [sound:ic_nrkt_ko.mp3]
こころ | kokoro | heart | [sound:ic_nrkt_kokoro.mp3]
こくさい | kokusai | international | [sound:ic_nrkt_kokusai.mp3]
こめ | kome | (husked grains of) rice | [sound:ic_nrkt_kome.mp3]
こんど | kondo | this time; next time | [sound:ic_nrkt_kondo.mp3]
このあいだ | kono aida | the other day; recently | [sound:ic_nrkt_konoaida.mp3]
 | kono goro | these days; nowadays | [sound:ic_nrkt_konogoro.mp3]
 | konpyuuta | computer | [sound:ic_nrkt_konpyuuta.mp3]
 | konsaato | concert | [sound:ic_nrkt_konsaato.mp3]
こんや | konya | this evening; tonigh | [sound:ic_nrkt_konya.mp3]
こしょう | koshou | to break-down | [sound:ic_nrkt_koshou.mp3]
こたえ | kotae | response | [sound:ic_nrkt_kotae.mp3]
ことり | kotori | small bird | [sound:ic_nrkt_kotori.mp3]
こうちょう | kouchou | principal; headmaster | [sound:ic_nrkt_kouchou.mp3]
こうどう | koudou | auditorium | [sound:ic_nrkt_koudou.mp3]
こうがい | kougai | suburb; residential area on the outskirt of a city | [sound:ic_nrkt_kougai.mp3]
こうぎ | kougi | lecture | [sound:ic_nrkt_kougi.mp3]
こうぎょう | kougyou | industry | [sound:ic_nrkt_kougyou.mp3]
こうじょう | koujou | factory | [sound:ic_nrkt_koujou.mp3]
こうこう | koukou | senior high school; high school​ | [sound:ic_nrkt_koukou.mp3]
こうこうせい | koukousei | high school student | [sound:ic_nrkt_koukousei.mp3]
こうむいん | koumuin | government worker | [sound:ic_nrkt_koumuin.mp3]
こうとうがっこう | koutougakkou | high school | [sound:ic_nrkt_koutougakkou.mp3]
こうつう | koutsuu | traffic | [sound:ic_nrkt_koutsuu.mp3]
くび | kubi | neck | [sound:ic_nrkt_kubi.mp3]
くも | kumo | cloud | [sound:ic_nrkt_kumo.mp3]
くさ | kusa | grass | [sound:ic_nrkt_kusa.mp3]
くうき | kuuki | air | [sound:ic_nrkt_kuuki.mp3]
くうこう | kuukou | airport | [sound:ic_nrkt_kuukou.mp3]
きゃく | kyaku | guest; customer | [sound:ic_nrkt_kyaku.mp3]
きょういく | kyouiku | education | [sound:ic_nrkt_kyouiku.mp3]
きょうかい | kyoukai | church; congregation; Christian church | [sound:ic_nrkt_kyoukai.mp3]
きょうみ | kyoumi | interest (in something); curiosity (about something); zest (for) | [sound:ic_nrkt_kyoumi.mp3]
きょうそう | kyousou | competition | [sound:ic_nrkt_kyousou.mp3]
きゅうこう | kyuukou | hurrying (to somewhere); rushing; hastening | [sound:ic_nrkt_kyuukou.mp3]
まんが | manga | comic | [sound:ic_nrkt_manga.mp3]
まんなか | mannaka | middle; centre; center | [sound:ic_nrkt_mannaka.mp3]
まわり | mawari | around | [sound:ic_nrkt_mawari.mp3]
みなと | minato | harbour | [sound:ic_nrkt_minato.mp3]
みそ | miso | fermented condiment made from soybeans | [sound:ic_nrkt_miso.mp3]
みやこ | miyako | capital | [sound:ic_nrkt_miyako.mp3]
みずうみ | mizuumi | lake | [sound:ic_nrkt_mizuumi.mp3]
もめん | momen | cotton (material) | [sound:ic_nrkt_momen.mp3]
もり | mori | forest | [sound:ic_nrkt_mori.mp3]
むかし | mukashi | olden days, former | [sound:ic_nrkt_mukashi.mp3]
むり | muri | impossible | [sound:ic_nrkt_muri.mp3]
むし | mushi | insect | [sound:ic_nrkt_mushi.mp3]
むすこ | musuko | son | [sound:ic_nrkt_musuko.mp3]
むすめ | musume | daughter | [sound:ic_nrkt_musume.mp3]
なま | nama | raw | [sound:ic_nrkt_nama.mp3]
ねぼう | nebou | sleeping in late; oversleeping | [sound:ic_nrkt_nebou.mp3]
ねだん | nedan | price; cost | [sound:ic_nrkt_nedan.mp3]
ねつ | netsu | fever | [sound:ic_nrkt_netsu.mp3]
にかいだて | nikaidate | two-storied building | [sound:ic_nrkt_nikaidate.mp3]
にんぎょう | ningyou | doll | [sound:ic_nrkt_ningyou.mp3]
におい | nioi | a smell | [sound:ic_nrkt_nioi.mp3]
のど | nodo | throat | [sound:ic_nrkt_nodo.mp3]
のりもの | norimono | vehicle | [sound:ic_nrkt_norimono.mp3]
にゅうがく | nyuugaku | entry to school or university; enrollment | [sound:ic_nrkt_nyuugaku.mp3]
にゅういん | nyuuin | hospitalization | [sound:ic_nrkt_nyuuin.mp3]
おどり | odori | a dance | [sound:ic_nrkt_odori.mp3]
おいわい | oiwai | congratulation | [sound:ic_nrkt_oiwai.mp3]
おじょうさん | ojousan | (another's) daughter | [sound:ic_nrkt_ojousan.mp3]
おくじょう | okujou | rooftop​ | [sound:ic_nrkt_okujou.mp3]
おくりもの | okurimono | present; gift | [sound:ic_nrkt_okurimono.mp3]
おまつり | omatsuri | festival | [sound:ic_nrkt_omatsuri.mp3]
おみまい | omimai | visiting ill or distressed people | [sound:ic_nrkt_omimai.mp3]
おみやげ | omiyage | souvenir | [sound:ic_nrkt_omiyage.mp3]
 | omocha | toy | [sound:ic_nrkt_omocha.mp3]
おもて | omote | the front | [sound:ic_nrkt_omote.mp3]
 | ootobai | motorcycle | [sound:ic_nrkt_ootobai.mp3]
おれい | orei | thanks | [sound:ic_nrkt_orei.mp3]
おしいれ | oshiire | closet | [sound:ic_nrkt_oshiire.mp3]
おたく | otaku | your home | [sound:ic_nrkt_otaku.mp3]
おと | oto | sound; note | [sound:ic_nrkt_oto.mp3]
おつり | otsuri | change (for a purchase)​ | [sound:ic_nrkt_otsuri.mp3]
おっと | otto | husband | [sound:ic_nrkt_otto.mp3]
おわり | owari | the end | [sound:ic_nrkt_owari.mp3]
おや | oya | parents | [sound:ic_nrkt_oya.mp3]
およぎかた | oyogikata | way of swimming | [sound:ic_nrkt_oyogikata.mp3]
 | paato | part; part time | [sound:ic_nrkt_paato.mp3]
 | pasokon | personal computer | [sound:ic_nrkt_pasokon.mp3]
 | piano | piano | [sound:ic_nrkt_piano.mp3]
 | purezento | present; gift | [sound:ic_nrkt_purezento.mp3]
れいぼう | reibou | air conditioning | [sound:ic_nrkt_reibou.mp3]
 | reji | cashier​ | [sound:ic_nrkt_reji.mp3]
れきし | rekishi | history | [sound:ic_nrkt_rekishi.mp3]
 | repooto | report | [sound:ic_nrkt_repooto.mp3]
りよう | riyou | use; utilization; application | [sound:ic_nrkt_riyou.mp3]
りゆう | riyuu | reason | [sound:ic_nrkt_riyuu.mp3]
るす | rusu | absence | [sound:ic_nrkt_rusu.mp3]
りょかん | ryokan | traditional inn; Japanese-style lodging | [sound:ic_nrkt_ryokan.mp3]
りょうほう | ryouhou | both sides | [sound:ic_nrkt_ryouhou.mp3]
さいご | saigo | end; last | [sound:ic_nrkt_saigo.mp3]
さいきん | saikin | recently | [sound:ic_nrkt_saikin.mp3]
さいしょ | saisho | beginning; first | [sound:ic_nrkt_saisho.mp3]
さか | saka | slope; hill | [sound:ic_nrkt_saka.mp3]
さくや | sakuya | last night | [sound:ic_nrkt_sakuya.mp3]
 | sandaru | sandal | [sound:ic_nrkt_sandaru.mp3]
 | sandoicchi | sandwich | [sound:ic_nrkt_sandoicchi.mp3]
さんぎょう | sangyou | industry | [sound:ic_nrkt_sangyou.mp3]
 | sarada | salad | [sound:ic_nrkt_sarada.mp3]
さらいげつ | saraigetsu | month after next | [sound:ic_nrkt_saraigetsu.mp3]
さらいしゅう | saraishuu | week after next | [sound:ic_nrkt_saraishuu.mp3]
せいぶつ | seibutsu | living thing | [sound:ic_nrkt_seibutsu.mp3]
せいじ | seiji | politics | [sound:ic_nrkt_seiji.mp3]
せいかつ | seikatsu | to live | [sound:ic_nrkt_seikatsu.mp3]
せいめい | seimei | life | [sound:ic_nrkt_seimei.mp3]
せいさん | seisan | production | [sound:ic_nrkt_seisan.mp3]
せいよう | seiyou | the west; Western countries | [sound:ic_nrkt_seiyou.mp3]
せかい | sekai | the world | [sound:ic_nrkt_sekai.mp3]
せき | seki | seat | [sound:ic_nrkt_seki.mp3]
せん | sen | line | [sound:ic_nrkt_sen.mp3]
せなか | senaka | back (of body) | [sound:ic_nrkt_senaka.mp3]
せんぱい | senpai | senior | [sound:ic_nrkt_senpai.mp3]
せんそう | sensou | war | [sound:ic_nrkt_sensou.mp3]
せつめい | setsumei | explanation | [sound:ic_nrkt_setsumei.mp3]
しゃちょう | shachou | company president; manager; director | [sound:ic_nrkt_shachou.mp3]
しゃかい | shakai | society; public; community; the world | [sound:ic_nrkt_shakai.mp3]
し | shi | city | [sound:ic_nrkt_shi.mp3]
しあい | shiai | match,game | [sound:ic_nrkt_shiai.mp3]
しかた | shikata | way; method | [sound:ic_nrkt_shikata.mp3]
しけん | shiken | examination | [sound:ic_nrkt_shiken.mp3]
しま | shima | island | [sound:ic_nrkt_shima.mp3]
市民 | shimin | citizen | [sound:ic_nrkt_shimin.mp3]
しなもの | shinamono | goods; article; thing | [sound:ic_nrkt_shinamono.mp3]
しんぶんしゃ | shinbunsha | newspaper company | [sound:ic_nrkt_shinbunsha.mp3]
しんせつ | shinsetsu | kindness | [sound:ic_nrkt_shinsetsu.mp3]
しっぱい | shippai | failure | [sound:ic_nrkt_shippai.mp3]
したぎ | shitagi | underwear | [sound:ic_nrkt_shitagi.mp3]
しょくりょうひん | shokuryouhin | food; groceries | [sound:ic_nrkt_shokuryouhin.mp3]
しょうがっこう | shougakkou | elementary school | [sound:ic_nrkt_shougakkou.mp3]
しょうかい | shoukai | introduction | [sound:ic_nrkt_shoukai.mp3]
しょうらい | shourai | future | [sound:ic_nrkt_shourai.mp3]
しょうせつ | shousetsu | novel | [sound:ic_nrkt_shousetsu.mp3]
しゅみ | shumi | hobby; pastime; preference | [sound:ic_nrkt_shumi.mp3]
しゅうかん | shuukan | habit; custom; cultural practice. | [sound:ic_nrkt_shuukan.mp3]
そぼ | sobo | grandmother | [sound:ic_nrkt_sobo.mp3]
そふ | sofu | grandfather | [sound:ic_nrkt_sofu.mp3]
 | sofuto | soft | [sound:ic_nrkt_sofuto.mp3]
そつぎょう | sotsugyou | graduation | [sound:ic_nrkt_sotsugyou.mp3]
そうだん | soudan | to discuss | [sound:ic_nrkt_soudan.mp3]
すいどう | suidou | water supply | [sound:ic_nrkt_suidou.mp3]
すいえい | suiei | swimming | [sound:ic_nrkt_suiei.mp3]
 | sukuriin | screen | [sound:ic_nrkt_sukuriin.mp3]
すみ | sumi | corner; nook | [sound:ic_nrkt_sumi.mp3]
すな | suna | sand | [sound:ic_nrkt_suna.mp3]
 | suri | pickpocket | [sound:ic_nrkt_suri.mp3]
 | sustsukeesu | suitcase | [sound:ic_nrkt_sustsukeesu.mp3]
 | suteeki | steak | [sound:ic_nrkt_suteeki.mp3]
 | sutereo | stereo | [sound:ic_nrkt_sutereo.mp3]
すうがく | suugaku | mathematics; arithmetic | [sound:ic_nrkt_suugaku.mp3]
 | suutsu | suit | [sound:ic_nrkt_suutsu.mp3]
たいいん | tai'in | leaving hospital; discharge from hospital | [sound:ic_nrkt_tai'in.mp3]
たいふう | taifuu | typhoon | [sound:ic_nrkt_taifuu.mp3]
 | taipu | type,style | [sound:ic_nrkt_taipu.mp3]
 | taitei | usually | [sound:ic_nrkt_taitei.mp3]
たな | tana | shelves | [sound:ic_nrkt_tana.mp3]
たんじょう | tanjou | birth | [sound:ic_nrkt_tanjou.mp3]
たのしみ | tanoshimi | looking forward to​ | [sound:ic_nrkt_tanoshimi.mp3]
たたみ | tatami | Japanese straw mat | [sound:ic_nrkt_tatami.mp3]
てぶくろ | tebukuro | glove | [sound:ic_nrkt_tebukuro.mp3]
ていねい | teinei | polite | [sound:ic_nrkt_teinei.mp3]
 | tekisuto | text; textbook | [sound:ic_nrkt_tekisuto.mp3]
てきとう | tekitou | suitable | [sound:ic_nrkt_tekitou.mp3]
てん | ten | point; dot | [sound:ic_nrkt_ten.mp3]
てんいん | ten'in | employee (of a store); shop assistant; clerk | [sound:ic_nrkt_ten'in.mp3]
 | tenisu | tennis | [sound:ic_nrkt_tenisu.mp3]
てんきよほう | tenkiyohou | weather forecast | [sound:ic_nrkt_tenkiyohou.mp3]
てんらんかい | tenrankai | exhibition | [sound:ic_nrkt_tenrankai.mp3]
てら | tera | temple | [sound:ic_nrkt_tera.mp3]
とちゅう | tochuu | on the way | [sound:ic_nrkt_tochuu.mp3]
とっきゅう | tokkyuu | limited express (train, faster than an express) | [sound:ic_nrkt_tokkyuu.mp3]
とこや | tokoya | barber | [sound:ic_nrkt_tokoya.mp3]
とくべつ | tokubetsu | special; particular; extraordinary; exceptional | [sound:ic_nrkt_tokubetsu.mp3]
とおく | tooku | distant | [sound:ic_nrkt_tooku.mp3]
つごう | tsugou | convenience | [sound:ic_nrkt_tsugou.mp3]
つき | tsuki | moon | [sound:ic_nrkt_tsuki.mp3]
つま | tsuma | (humble) wife | [sound:ic_nrkt_tsuma.mp3]
うで | ude | arm | [sound:ic_nrkt_ude.mp3]
うけつけ | uketsuke | reception (desk); information desk​ | [sound:ic_nrkt_uketsuke.mp3]
うまれ | umare | birth | [sound:ic_nrkt_umare.mp3]
うんてんしゅ | untenshu | driver; chauffeur | [sound:ic_nrkt_untenshu.mp3]
うら | ura | reverse side | [sound:ic_nrkt_ura.mp3]
うりば | uriba | selling area | [sound:ic_nrkt_uriba.mp3]
うそ | uso | a lie | [sound:ic_nrkt_uso.mp3]
 | waapuro | word processor | [sound:ic_nrkt_waapuro.mp3]
わりあい | wariai | rate; ratio | [sound:ic_nrkt_wariai.mp3]
わすれもの | wasuremono | lost article | [sound:ic_nrkt_wasuremono.mp3]
やくそく | yakusoku | promise | [sound:ic_nrkt_yakusoku.mp3]
よしゅう | yoshuu | preparation for a lesson | [sound:ic_nrkt_yoshuu.mp3]
よてい | yotei | plan | [sound:ic_nrkt_yotei.mp3]
よう | you | business; task; errand; use; purpose | [sound:ic_nrkt_you.mp3]
ようい | youi | preparation; arrangements; provision; getting ready | [sound:ic_nrkt_youi.mp3]
ようじ | youji | tasks; things to do; errand; business (to take care of) | [sound:ic_nrkt_youji.mp3]
よやく | yoyaku | reservation | [sound:ic_nrkt_yoyaku.mp3]
ゆ | yu | hot water | [sound:ic_nrkt_yu.mp3]
ゆび | yubi | finger | [sound:ic_nrkt_yubi.mp3]
ゆびわ | yubiwa | finger ring | [sound:ic_nrkt_yubiwa.mp3]
ゆめ | yume | dream | [sound:ic_nrkt_yume.mp3]
ざんねん | zannen | regrettable; unfortunate | [sound:ic_nrkt_zannen.mp3]
