あか | aka | red; crimson; scarlet​ | [sound:ic_nrkt_aka.mp3]
はんぶん | hanbun | half | [sound:ic_nrkt_hanbun.mp3]
 | hankachi | handkerchief​ | [sound:ic_nrkt_hankachi.mp3]
はれ | hare | clear weather | [sound:ic_nrkt_hare.mp3]
はる | haru | spring; springtime | [sound:ic_nrkt_haru.mp3]
はし | hashi | chopsticks | [sound:ic_nrkt_hashi.mp3]
はし | hashi | bridge | [sound:ic_nrkt_hashi.mp3]
はたち | hatachi | 20 years old; twenty years old | [sound:ic_nrkt_hatachi.mp3]
はつか | hatsuka | twentieth day of the month / 20 days | [sound:ic_nrkt_hatsuka.mp3]
へん | hen | area | [sound:ic_nrkt_hen.mp3]
へた | heta | unskillful; poor; awkward​ | [sound:ic_nrkt_heta.mp3]
へや | heya | room | [sound:ic_nrkt_heya.mp3]
ひだり | hidari | left; left hand side | [sound:ic_nrkt_hidari.mp3]
ひがし | higashi | east | [sound:ic_nrkt_higashi.mp3]
ひこうき | hikouki | airplane; aircraft | [sound:ic_nrkt_hikouki.mp3]
ひま | hima | free time | [sound:ic_nrkt_hima.mp3]
ひる | hiru | noon; midday; daytime; lunch | [sound:ic_nrkt_hiru.mp3]
ひるごはん | hirugohan | lunch | [sound:ic_nrkt_hirugohan.mp3]
ひと | hito | person; human | [sound:ic_nrkt_hito.mp3]
ひとり | hitori | one person​; alone; single | [sound:ic_nrkt_hitori.mp3]
ひとつ | hitotsu | one thing; only | [sound:ic_nrkt_hitotsu.mp3]
 | hoka | other (place, thing, person); the rest | [sound:ic_nrkt_hoka.mp3]
ほん | hon | book; volume; script | [sound:ic_nrkt_hon.mp3]
ほんだな | hondana | bookshelf; bookcase | [sound:ic_nrkt_hondana.mp3]
ほんとう | hontou | truth; reality; actuality; fact | [sound:ic_nrkt_hontou.mp3]
 | hoteru | hotel | [sound:ic_nrkt_hoteru.mp3]
ひゃく | hyaku | 100; hundred | [sound:ic_nrkt_hyaku.mp3]
いち | ichi | one; best; first; foremost; start | [sound:ic_nrkt_ichi.mp3]
いちばん | ichiban | number one; first; 1st, first place​; best; most​ | [sound:ic_nrkt_ichiban.mp3]
いちにち | ichinichi | one day, all day | [sound:ic_nrkt_ichinichi.mp3]
いえ | ie | house, residence, family | [sound:ic_nrkt_ie.mp3]
いけ | ike | pond | [sound:ic_nrkt_ike.mp3]
 | ikura | how much?; how many?​ | [sound:ic_nrkt_ikura.mp3]
いま | ima | now; the present time; soon | [sound:ic_nrkt_ima.mp3]
いみ | imi | meaning; significance; sense | [sound:ic_nrkt_imi.mp3]
いもうと | imouto | younger sister | [sound:ic_nrkt_imouto.mp3]
いぬ | inu | dog | [sound:ic_nrkt_inu.mp3]
いりぐち | iriguchi | entrance; entry; gate | [sound:ic_nrkt_iriguchi.mp3]
いろ | iro | colour; color | [sound:ic_nrkt_iro.mp3]
いろいろ | iroiro | various | [sound:ic_nrkt_iroiro.mp3]
いしゃ | isha | (medical) doctor; physician | [sound:ic_nrkt_isha.mp3]
いっしょ | issho | together; at the same time; same; identical | [sound:ic_nrkt_issho.mp3]
いす | isu | chair | [sound:ic_nrkt_isu.mp3]
いつか | itsuka | the fifth day of the month / 5 days | [sound:ic_nrkt_itsuka.mp3]
いつつ | itsutsu | five; 5 | [sound:ic_nrkt_itsutsu.mp3]
いや | iya | unpleasant | [sound:ic_nrkt_iya.mp3]
じびき | jibiki | dictionary | [sound:ic_nrkt_jibiki.mp3]
じどうしゃ | jidousha | automobile; motorcar; motor vehicle; car | [sound:ic_nrkt_jidousha.mp3]
じかん | jikan | time; hour(s) | [sound:ic_nrkt_jikan.mp3]
じしょ | jisho | dictionary | [sound:ic_nrkt_jisho.mp3]
じてんしゃ | jitensha | bicycle | [sound:ic_nrkt_jitensha.mp3]
じょうず | jouzu | skillful; skilled; proficient; good (at) | [sound:ic_nrkt_jouzu.mp3]
じゅぎょう | jugyou | lesson; class work | [sound:ic_nrkt_jugyou.mp3]
じゅう | juu | ten; 10 | [sound:ic_nrkt_juu.mp3]
 | kaban | bag; basket​ | [sound:ic_nrkt_kaban.mp3]
かびん | kabin | a vase | [sound:ic_nrkt_kabin.mp3]
かど | kado | a corner; angle​ | [sound:ic_nrkt_kado.mp3]
かぎ | kagi | key | [sound:ic_nrkt_kagi.mp3]
かいだん | kaidan | stairs; stairway; staircase | [sound:ic_nrkt_kaidan.mp3]
かいもの | kaimono | shopping; purchased goods | [sound:ic_nrkt_kaimono.mp3]
かいしゃ | kaisha | company; corporation | [sound:ic_nrkt_kaisha.mp3]
 | kamera | camera | [sound:ic_nrkt_kamera.mp3]
かみ | kami | paper | [sound:ic_nrkt_kami.mp3]
かんじ | kanji | kanji | [sound:ic_nrkt_kanji.mp3]
 | kappu | cup | [sound:ic_nrkt_kappu.mp3]
からだ | karada | body | [sound:ic_nrkt_karada.mp3]
 | karee | curry | [sound:ic_nrkt_karee.mp3]
 | karendaa | calendar | [sound:ic_nrkt_karendaa.mp3]
かさ | kasa | umbrella | [sound:ic_nrkt_kasa.mp3]
かた | kata | way of doing something | [sound:ic_nrkt_kata.mp3]
かてい | katei | household | [sound:ic_nrkt_katei.mp3]
かわ | kawa | river; stream​ | [sound:ic_nrkt_kawa.mp3]
かようび | kayoubi | Tuesday | [sound:ic_nrkt_kayoubi.mp3]
かぜ | kaze | a cold | [sound:ic_nrkt_kaze.mp3]
かぜ | kaze | wind | [sound:ic_nrkt_kaze.mp3]
かぞく | kazoku | family; members of a family | [sound:ic_nrkt_kazoku.mp3]
けいかん | keikan | policeman; police officer | [sound:ic_nrkt_keikan.mp3]
けっこん | kekkon | marriage | [sound:ic_nrkt_kekkon.mp3]
けっこう | kekkou | splendid, enough | [sound:ic_nrkt_kekkou.mp3]
けさ | kesa | this morning | [sound:ic_nrkt_kesa.mp3]
き | ki | tree; shrub; bush; wood; timber | [sound:ic_nrkt_ki.mp3]
きのう | kinou | yesterday | [sound:ic_nrkt_kinou.mp3]
きんようび | kinyoubi | Friday | [sound:ic_nrkt_kinyoubi.mp3]
きっぷ | kippu | ticket | [sound:ic_nrkt_kippu.mp3]
きらい | kirai | hate | [sound:ic_nrkt_kirai.mp3]
 | kiro guramu | kilogram | [sound:ic_nrkt_kiroguramu.mp3]
 | kiro meetoru | kilometer | [sound:ic_nrkt_kiromeetoru.mp3]
きっさてん | kissaten | coffee shop; tearoom; cafe | [sound:ic_nrkt_kissaten.mp3]
きた | kita | north | [sound:ic_nrkt_kita.mp3]
きって | kitte | stamp (postage) | [sound:ic_nrkt_kitte.mp3]
 | kocchi | this person or way | [sound:ic_nrkt_kocchi.mp3]
 | kochira | this way; this direction​ | [sound:ic_nrkt_kochira.mp3]
こども | kodomo | child | [sound:ic_nrkt_kodomo.mp3]
こえ | koe | voice | [sound:ic_nrkt_koe.mp3]
ここのか | kokonoka | ninth day of the month / 9 days | [sound:ic_nrkt_kokonoka.mp3]
ここのつ | kokonotsu | nine; 9 | [sound:ic_nrkt_kokonotsu.mp3]
こんばん | konban | tonight; this evening | [sound:ic_nrkt_konban.mp3]
こんげつ | kongetsu | this month | [sound:ic_nrkt_kongetsu.mp3]
こんしゅう | konshuu | this week | [sound:ic_nrkt_konshuu.mp3]
 | koohii | Coffee | [sound:ic_nrkt_koohii.mp3]
 | kooto | coat | [sound:ic_nrkt_kooto.mp3]
 | kopii | copy; photocopy | [sound:ic_nrkt_kopii.mp3]
 | koppu | glass (drinking vessel); tumbler​ | [sound:ic_nrkt_koppu.mp3]
ことば | kotoba | word; words | [sound:ic_nrkt_kotoba.mp3]
ことし | kotoshi | this year | [sound:ic_nrkt_kotoshi.mp3]
こうばん | kouban | police box | [sound:ic_nrkt_kouban.mp3]
こうちゃ | koucha | black tea | [sound:ic_nrkt_koucha.mp3]
こうえん | kouen | park | [sound:ic_nrkt_kouen.mp3]
こうさてん | kousaten | intersection | [sound:ic_nrkt_kousaten.mp3]
くち | kuchi | mouth, opening | [sound:ic_nrkt_kuchi.mp3]
くだもの | kudamono | fruit | [sound:ic_nrkt_kudamono.mp3]
くもり | kumori | cloudiness; cloudy weather | [sound:ic_nrkt_kumori.mp3]
くに | kuni | country; state; region | [sound:ic_nrkt_kuni.mp3]
 | kurasu | class | [sound:ic_nrkt_kurasu.mp3]
くろ | kuro | black | [sound:ic_nrkt_kuro.mp3]
くるま | kuruma | car; automobile; vehicle | [sound:ic_nrkt_kuruma.mp3]
くすり | kusuri | medicine | [sound:ic_nrkt_kusuri.mp3]
くつ | kutsu | shoes | [sound:ic_nrkt_kutsu.mp3]
くつした | kutsushita | socks | [sound:ic_nrkt_kutsushita.mp3]
きょねん | kyonen | last year | [sound:ic_nrkt_kyonen.mp3]
きょう | kyou | today; this day | [sound:ic_nrkt_kyou.mp3]
きょうだい | kyoudai | siblings; brothers and sisters​; mate | [sound:ic_nrkt_kyoudai.mp3]
きょうしつ | kyoushitsu | classroom | [sound:ic_nrkt_kyoushitsu.mp3]
きゅう | kyuu | nine; 9 | [sound:ic_nrkt_kyuu.mp3]
 | macchi | match | [sound:ic_nrkt_macchi.mp3]
まち | machi | town; block; neighborhood | [sound:ic_nrkt_machi.mp3]
まど | mado | window | [sound:ic_nrkt_mado.mp3]
まえ | mae | previous; before; in front; ago | [sound:ic_nrkt_mae.mp3]
まいあさ | maiasa | every morning | [sound:ic_nrkt_maiasa.mp3]
まいばん | maiban | every night | [sound:ic_nrkt_maiban.mp3]
まいにち | mainichi | every day | [sound:ic_nrkt_mainichi.mp3]
まいしゅう | maishuu | every week | [sound:ic_nrkt_maishuu.mp3]
まいとし / まいねん | maitoshi / mainen | every year; yearly; annually | [sound:ic_nrkt_maitoshi/mainen.mp3]
まいつき | maitsuki | every month; monthly | [sound:ic_nrkt_maitsuki.mp3]
まん | man | 10,000; ten thousand | [sound:ic_nrkt_man.mp3]
まんねんひつ | mannenhitsu | fountain pen | [sound:ic_nrkt_mannenhitsu.mp3]
まっすぐ | massugu | straight ahead,direct | [sound:ic_nrkt_massugu.mp3]
め | me | eye | [sound:ic_nrkt_me.mp3]
 | meetoru | metre; meter | [sound:ic_nrkt_meetoru.mp3]
めがね | megane | glasses | [sound:ic_nrkt_megane.mp3]
みち | michi | road; street | [sound:ic_nrkt_michi.mp3]
みどり | midori | green | [sound:ic_nrkt_midori.mp3]
みぎ | migi | right; right hand side | [sound:ic_nrkt_migi.mp3]
みっか | mikka | the third day of the month / 3 days | [sound:ic_nrkt_mikka.mp3]
みみ | mimi | ear; hearing | [sound:ic_nrkt_mimi.mp3]
みなみ | minami | south | [sound:ic_nrkt_minami.mp3]
みなさん | minasan | everyone | [sound:ic_nrkt_minasan.mp3]
 | minna | all; everyone; everybody | [sound:ic_nrkt_minna.mp3]
みせ | mise | store; shop; establishment; restaurant | [sound:ic_nrkt_mise.mp3]
みっつ | mittsu | three; 3 | [sound:ic_nrkt_mittsu.mp3]
みず | mizu | water; fluid; liquid​ | [sound:ic_nrkt_mizu.mp3]
もくようび | mokuyoubi | Thursday | [sound:ic_nrkt_mokuyoubi.mp3]
もん | mon | gate | [sound:ic_nrkt_mon.mp3]
もんだい | mondai | problem; question (e.g. on a test) | [sound:ic_nrkt_mondai.mp3]
もの | mono | thing | [sound:ic_nrkt_mono.mp3]
むいか | muika | sixth day of the month / 6 days | [sound:ic_nrkt_muika.mp3]
むこう | mukou | over there | [sound:ic_nrkt_mukou.mp3]
むら | mura | village | [sound:ic_nrkt_mura.mp3]
むっつ | muttsu | six; 6 | [sound:ic_nrkt_muttsu.mp3]
 | naifu | knife | [sound:ic_nrkt_naifu.mp3]
なか | naka | inside; in; within; center | [sound:ic_nrkt_naka.mp3]
なまえ | namae | name; full name; given name | [sound:ic_nrkt_namae.mp3]
ななつ | nanatsu | seven; 7 | [sound:ic_nrkt_nanatsu.mp3]
なのか | nanoka | seventh day of the month / 7 days | [sound:ic_nrkt_nanoka.mp3]
なつ | natsu | summer | [sound:ic_nrkt_natsu.mp3]
なつやすみ | natsuyasumi | summer vacation; summer holiday | [sound:ic_nrkt_natsuyasumi.mp3]
ねこ | neko | cat | [sound:ic_nrkt_neko.mp3]
 | nekutai | tie; necktie | [sound:ic_nrkt_nekutai.mp3]
に | ni | two; 2 | [sound:ic_nrkt_ni.mp3]
にちようび | nichiyoubi | Sunday | [sound:ic_nrkt_nichiyoubi.mp3]
にっき | nikki | diary; journal | [sound:ic_nrkt_nikki.mp3]
にく | niku | meat | [sound:ic_nrkt_niku.mp3]
にもつ | nimotsu | luggage; baggage | [sound:ic_nrkt_nimotsu.mp3]
にし | nishi | west | [sound:ic_nrkt_nishi.mp3]
にわ | niwa | garden | [sound:ic_nrkt_niwa.mp3]
のみもの | nomimono | drink; beverage | [sound:ic_nrkt_nomimono.mp3]
 | nooto | notebook | [sound:ic_nrkt_nooto.mp3]
 | nyuusu | news | [sound:ic_nrkt_nyuusu.mp3]
 | obaasan | grandmother | [sound:ic_nrkt_obaasan.mp3]
おばさん | obasan | aunt; old lady | [sound:ic_nrkt_obasan.mp3]
おべんとう | obentou | lunch box; Japanese box lunch | [sound:ic_nrkt_obentou.mp3]
おちゃ | ocha | tea | [sound:ic_nrkt_ocha.mp3]
おふろ | ofuro | bath | [sound:ic_nrkt_ofuro.mp3]
おじさん | ojisan | uncle; old man; mister | [sound:ic_nrkt_ojisan.mp3]
おかあさん | okaasan | mother; mom; mum; ma | [sound:ic_nrkt_okaasan.mp3]
おかね | okane | money | [sound:ic_nrkt_okane.mp3]
おかし | okashi | confections; sweets; candy | [sound:ic_nrkt_okashi.mp3]
おくさん | okusan | wife; your wife; his wife | [sound:ic_nrkt_okusan.mp3]
おまわりさん | omawari san | police officer (friendly term for policeman) | [sound:ic_nrkt_omawarisan.mp3]
おなじ | onaji | same | [sound:ic_nrkt_onaji.mp3]
おなか | onaka | stomach | [sound:ic_nrkt_onaka.mp3]
おねえさん | oneesan | elder sister; young lady; miss; ma'am | [sound:ic_nrkt_oneesan.mp3]
おんがく | ongaku | music | [sound:ic_nrkt_ongaku.mp3]
おにいさん | oniisan | older brother; elder brother; young man; buddy | [sound:ic_nrkt_oniisan.mp3]
おんな | onna | woman; female sex | [sound:ic_nrkt_onna.mp3]
おんなのこ | onnanoko | girl; daughter; young women | [sound:ic_nrkt_onnanoko.mp3]
おおぜい | oozei | crowd of people; great number of people | [sound:ic_nrkt_oozei.mp3]
おさけ | osake | alcohol | [sound:ic_nrkt_osake.mp3]
おさら | osara | plate, dish | [sound:ic_nrkt_osara.mp3]
おてあらい | otearai | toilet; restroom; lavatory; bathroom | [sound:ic_nrkt_otearai.mp3]
おとこ | otoko | man; male | [sound:ic_nrkt_otoko.mp3]
おとこのこ | otokonoko | boy; male child; baby boy | [sound:ic_nrkt_otokonoko.mp3]
おとな | otona | adult | [sound:ic_nrkt_otona.mp3]
おととい | ototoi | day before yesterday | [sound:ic_nrkt_ototoi.mp3]
おととし | ototoshi | year before last | [sound:ic_nrkt_ototoshi.mp3]
おとうさん | otousan | father; dad; papa; pa; pop; daddy | [sound:ic_nrkt_otousan.mp3]
おとうと | otouto | younger brother | [sound:ic_nrkt_otouto.mp3]
 | paatii | party | [sound:ic_nrkt_paatii.mp3]
 | pan | bread | [sound:ic_nrkt_pan.mp3]
 | peeji | page | [sound:ic_nrkt_peeji.mp3]
 | pen | pen | [sound:ic_nrkt_pen.mp3]
 | petto | pet | [sound:ic_nrkt_petto.mp3]
 | poketto | pocket | [sound:ic_nrkt_poketto.mp3]
 | posuto | post | [sound:ic_nrkt_posuto.mp3]
 | puuru | swimming pool | [sound:ic_nrkt_puuru.mp3]
らいげつ | raigetsu | next month | [sound:ic_nrkt_raigetsu.mp3]
らいねん | rainen | next year | [sound:ic_nrkt_rainen.mp3]
らいしゅう | raishuu | next week | [sound:ic_nrkt_raishuu.mp3]
 | rajiio | radio | [sound:ic_nrkt_rajiio.mp3]
れい | rei | zero | [sound:ic_nrkt_rei.mp3]
れいぞうこ | reizouko | refrigerator | [sound:ic_nrkt_reizouko.mp3]
 | rekoodo | record | [sound:ic_nrkt_rekoodo.mp3]
れんしゅう | renshuu | practice; practicing | [sound:ic_nrkt_renshuu.mp3]
 | resutoran | restaurant | [sound:ic_nrkt_resutoran.mp3]
ろく | roku | six; 6 | [sound:ic_nrkt_roku.mp3]
ろうか | rouka | corridor; hallway; passageway | [sound:ic_nrkt_rouka.mp3]
りょこう | ryokou | travel; trip; journey; excursion; tour | [sound:ic_nrkt_ryokou.mp3]
りょうり | ryouri | cuisine | [sound:ic_nrkt_ryouri.mp3]
りょうしん | ryoushin | parents; both parents | [sound:ic_nrkt_ryoushin.mp3]
りゅうがくせい | ryuugakusei | overseas student; exchange student | [sound:ic_nrkt_ryuugakusei.mp3]
さいふ | saifu | purse; wallet | [sound:ic_nrkt_saifu.mp3]
さかな | sakana | fish | [sound:ic_nrkt_sakana.mp3]
さき | saki | previous; prior; first; earlier | [sound:ic_nrkt_saki.mp3]
さくぶん | sakubun | writing; composition | [sound:ic_nrkt_sakubun.mp3]
さん | san | three; 3 | [sound:ic_nrkt_san.mp3]
さんぽ | sanpo | walk; stroll | [sound:ic_nrkt_sanpo.mp3]
さらいねん | sarainen | year after next | [sound:ic_nrkt_sarainen.mp3]
さとう | satou | sugar | [sound:ic_nrkt_satou.mp3]
せ | se | height; stature; back; spine | [sound:ic_nrkt_se.mp3]
せびろ | sebiro | business suit | [sound:ic_nrkt_sebiro.mp3]
 | seetaa | sweater; jumper | [sound:ic_nrkt_seetaa.mp3]
せいと | seito | pupil; student | [sound:ic_nrkt_seito.mp3]
せっけん | sekken | soap | [sound:ic_nrkt_sekken.mp3]
せん | sen | 1,000; thousand | [sound:ic_nrkt_sen.mp3]
せんげつ | sengetsu | last month | [sound:ic_nrkt_sengetsu.mp3]
せんせい | sensei | teacher; instructor; master | [sound:ic_nrkt_sensei.mp3]
せんしゅう | senshuu | last week | [sound:ic_nrkt_senshuu.mp3]
せんたく | sentaku | washing; laundry | [sound:ic_nrkt_sentaku.mp3]
しゃしん | shashin | photograph; photo | [sound:ic_nrkt_shashin.mp3]
 | shatsu | shirt | [sound:ic_nrkt_shatsu.mp3]
 | shawaa | shower | [sound:ic_nrkt_shawaa.mp3]
し | shi | four; 4 | [sound:ic_nrkt_shi.mp3]
しち | shichi | seven; 7 | [sound:ic_nrkt_shichi.mp3]
しごと | shigoto | work; job; business | [sound:ic_nrkt_shigoto.mp3]
しんぶん | shinbun | newspaper | [sound:ic_nrkt_shinbun.mp3]
しお | shio | salt | [sound:ic_nrkt_shio.mp3]
しろ | shiro | white; innocence; innocent person | [sound:ic_nrkt_shiro.mp3]
した | shita | below; down; under; bottom | [sound:ic_nrkt_shita.mp3]
しつもん | shitsumon | question; inquiry | [sound:ic_nrkt_shitsumon.mp3]
しょくどう | shokudou | cafeteria; dining room | [sound:ic_nrkt_shokudou.mp3]
しょうゆ | shouyu | soy sauce | [sound:ic_nrkt_shouyu.mp3]
しゅくだい | shukudai | homework; assignment; pending issue | [sound:ic_nrkt_shukudai.mp3]
 | soba | near; beside | [sound:ic_nrkt_soba.mp3]
そら | sora | sky; the air | [sound:ic_nrkt_sora.mp3]
そと | soto | outside; exterior; | [sound:ic_nrkt_soto.mp3]
そうじ | souji | to clean, to sweep | [sound:ic_nrkt_souji.mp3]
すいようび | suiyoubi | Wednesday | [sound:ic_nrkt_suiyoubi.mp3]
 | sukaato | skirt | [sound:ic_nrkt_sukaato.mp3]
すき | suki | like | [sound:ic_nrkt_suki.mp3]
すこし | sukoshi | a little (bit); small quantity; few; short distance | [sound:ic_nrkt_sukoshi.mp3]
 | supootsu | sport; sports | [sound:ic_nrkt_supootsu.mp3]
 | supuun | spoon | [sound:ic_nrkt_supuun.mp3]
 | surippa | slipper; slippers | [sound:ic_nrkt_surippa.mp3]
 | sutoobu | heater; stove | [sound:ic_nrkt_sutoobu.mp3]
 | tabako | tobacco; cigarette | [sound:ic_nrkt_tabako.mp3]
たべもの | tabemono | food | [sound:ic_nrkt_tabemono.mp3]
たいへん | taihen | very; greatly; terribly; serious; difficult | [sound:ic_nrkt_taihen.mp3]
たいせつ | taisetsu | important; necessary; indispensable; beloved | [sound:ic_nrkt_taisetsu.mp3]
たいしかん | taishikan | embassy | [sound:ic_nrkt_taishikan.mp3]
たくさん | takusan | many | [sound:ic_nrkt_takusan.mp3]
 | takushii | taxi | [sound:ic_nrkt_takushii.mp3]
たまご | tamago | eggs; egg | [sound:ic_nrkt_tamago.mp3]
たんじょうび | tanjoubi | birthday | [sound:ic_nrkt_tanjoubi.mp3]
たて | tate | length,height | [sound:ic_nrkt_tate.mp3]
たてもの | tatemono | building | [sound:ic_nrkt_tatemono.mp3]
て | te | hand; arm | [sound:ic_nrkt_te.mp3]
 | teeburu | table | [sound:ic_nrkt_teeburu.mp3]
 | teepu | tape | [sound:ic_nrkt_teepu.mp3]
 | teepu rekoodaa | tape recorder | [sound:ic_nrkt_teepurekoodaa.mp3]
てがみ | tegami | Letter (message)​ | [sound:ic_nrkt_tegami.mp3]
てんき | tenki | weather; the elements | [sound:ic_nrkt_tenki.mp3]
 | terebi | television; TV​ | [sound:ic_nrkt_terebi.mp3]
 | tesuto | examination; quiz; test | [sound:ic_nrkt_tesuto.mp3]
と | to | Japanese style door | [sound:ic_nrkt_to.mp3]
 | toire | toilet | [sound:ic_nrkt_toire.mp3]
とけい | tokei | watch; clock; timepiece | [sound:ic_nrkt_tokei.mp3]
とき | toki | time; moment; occasion; chance | [sound:ic_nrkt_toki.mp3]
ときどき | tokidoki | sometimes; at times | [sound:ic_nrkt_tokidoki.mp3]
