てぶくろ | tebukuro | glove | [sound:ic_jp_tebukuro.mp3] 
あしくび | ashikubi | ankle | [sound:ic_jp_ashikubi.mp3] 
ひじ | hiji | elbow | [sound:ic_jp_hiji.mp3] 
てくび | tekubi | wrist | [sound:ic_jp_tekubi.mp3] 
ひざ | hiza | knee | [sound:ic_jp_hiza.mp3] 
はだ | hada | skin | [sound:ic_jp_hada.mp3] 
けつえき | ketsueki | blood | [sound:ic_jp_ketsueki.mp3] 
ふろにはいる | furo ni hairu | bathe | [sound:ic_jp_furo_ni_hairu.mp3] 
そる | soru | shave | [sound:ic_jp_soru.mp3] 
みがく | migaku | brush | [sound:ic_jp_migaku.mp3] 
シャワーをあびる | shawā o abiru | shower | [sound:ic_jp_shawā_o_abiru.mp3] 
あらう | arau | wash | [sound:ic_jp_arau.mp3] 
はをみがく | ha o migaku | brush one's teeth | [sound:ic_jp_ha_o_migaku.mp3] 
とかす | tokasu | comb | [sound:ic_jp_tokasu.mp3] 
ふろにはいる | furo ni hairu | take a bath | [sound:ic_jp_furo_ni_hairu.mp3] 
かみにブラシをかける | kami ni burashi o kakeru | brush | [sound:ic_jp_kami_ni_burashi_o_kakeru.mp3] 
うがいをする | ugai o suru | gargle | [sound:ic_jp_ugai_o_suru.mp3] 
きる | kiru | cut | [sound:ic_jp_kiru.mp3] 
かわかす | kawakasu | blow-dry | [sound:ic_jp_kawakasu.mp3] 
やけど | yakedo | burn | [sound:ic_jp_yakedo.mp3] 
こわす | kowasu | break | [sound:ic_jp_kowasu.mp3] 
きりきず | kirikizu | cut | [sound:ic_jp_kirikizu.mp3] 
ねんざ | nenza | sprain | [sound:ic_jp_nenza.mp3] 
でんしれんじ | denshi renji | microwave oven | [sound:ic_jp_denshi_renji.mp3] 
れいぞうこ | reizōko | refrigerator | [sound:ic_jp_reizōko.mp3] 
そうじき | sōjiki | vacuum cleaner | [sound:ic_jp_sōjiki.mp3] 
ノートパソコン | nōtopasokon | laptop | [sound:ic_jp_nōtopasokon.mp3] 
せんたくき | sentakuki | washing machine | [sound:ic_jp_sentakuki.mp3] 
ディーブイディープレーヤー | dībuidī purēyā | DVD player | [sound:ic_jp_dībuidī_purēyā.mp3] 
せんぷうき | senpūki | fan | [sound:ic_jp_senpūki.mp3] 
エアコン | eakon | air conditioner | [sound:ic_jp_eakon.mp3] 
エアコン | eakon | air conditioner | [sound:ic_jp_eakon.mp3] 
エアコン | eakon | air conditioner | [sound:ic_jp_eakon.mp3] 
エアコン | eakon | air conditioner | [sound:ic_jp_eakon.mp3] 
コンロ | konro | stove | [sound:ic_jp_konro.mp3] 
シングルベッド | shinguru beddo | single bed | [sound:ic_jp_shinguru_beddo.mp3] 
ダブルベッド | daburu beddo | double bed | [sound:ic_jp_daburu_beddo.mp3] 
ウェイクアップサービス | ueikuappu sābisu | wake-up service | [sound:ic_jp_ueikuappu_sābisu.mp3] 
ホテル | hoteru | hotel | [sound:ic_jp_hoteru.mp3] 
フロント | furonto | front desk | [sound:ic_jp_furonto.mp3] 
インターネット | intānetto | Internet | [sound:ic_jp_intānetto.mp3] 
チェックインする | chekkuin suru | check in | [sound:ic_jp_chekkuin_suru.mp3] 
チェックアウトする | chekkuauto suru | check out | [sound:ic_jp_chekkuauto_suru.mp3] 
へやばんごう | heya bangō | room number | [sound:ic_jp_heya_bangō.mp3] 
ルームキー | rūmu kī | room key | [sound:ic_jp_rūmu_kī.mp3] 
モーニングコール | mōningu kōru | wake-up call | [sound:ic_jp_mōningu_kōru.mp3] 
しょうがっこう | shōgakkō | elementary school | [sound:ic_jp_shōgakkō.mp3] 
ちゅうがっこう | chūgakkō | middle school | [sound:ic_jp_chūgakkō.mp3] 
こうこう | kōkō | high school | [sound:ic_jp_kōkō.mp3] 
だいがく | daigaku | university | [sound:ic_jp_daigaku.mp3] 
だいがく | daigaku | college | [sound:ic_jp_daigaku.mp3] 
こうちょう | kōchō | principal | [sound:ic_jp_kōchō.mp3] 
リュック | ryukku | backpack | [sound:ic_jp_ryukku.mp3] 
しん | shin | lead | [sound:ic_jp_shin.mp3] 
せっちゃくざい | secchakuzai | glue | [sound:ic_jp_secchakuzai.mp3] 
でんたく | dentaku | calculator | [sound:ic_jp_dentaku.mp3] 
えんぴつけずり | enpitsu kezuri | pencil sharpener | [sound:ic_jp_enpitsu_kezuri.mp3] 
しん | shin | pencil lead | [sound:ic_jp_shin.mp3] 
たいへいよう | Taiheiyō | Pacific Ocean | [sound:ic_jp_Taiheiyō.mp3] 
たいせいよう | Taiseiyō | Atlantic Ocean | [sound:ic_jp_Taiseiyō.mp3] 
インドよう | Indoyō | Indian Ocean | [sound:ic_jp_Indoyō.mp3] 
オーストラリア | Ōsutoraria | Australia | [sound:ic_jp_Ōsutoraria.mp3] 
なんきょくたいりく | Nankyoku tairiku | Antarctica | [sound:ic_jp_Nankyoku_tairiku.mp3] 
アジア | Ajia | Asia | [sound:ic_jp_Ajia.mp3] 
アフリカ | Afurika | Africa | [sound:ic_jp_Afurika.mp3] 
ヨーロッパ | Yōroppa | Europe | [sound:ic_jp_Yōroppa.mp3] 
きたアメリカ | Kita Amerika | North America | [sound:ic_jp_Kita_Amerika.mp3] 
みなみアメリカ | Minami Amerika | South America | [sound:ic_jp_Minami_Amerika.mp3] 
