あかるい | akarui | light | [sound:ic_jp_akarui.mp3] 
プルーン | purūn | prune | [sound:ic_jp_purūn.mp3] 
マンゴー | mangō | mango | [sound:ic_jp_mangō.mp3] 
レモン | remon | lemon | [sound:ic_jp_remon.mp3] 
ラズベリー | razuberī | raspberry | [sound:ic_jp_razuberī.mp3] 
キノコ | kinoko | mushroom | [sound:ic_jp_kinoko.mp3] 
にんにく | ninniku | garlic | [sound:ic_jp_ninniku.mp3] 
とうがらし | tōgarashi | chili pepper | [sound:ic_jp_tōgarashi.mp3] 
トウモロコシ | tōmorokoshi | corn | [sound:ic_jp_tōmorokoshi.mp3] 
サツマイモ | satsumaimo | sweet potato | [sound:ic_jp_satsumaimo.mp3] 
カリフラワー | karifurawā | cauliflower | [sound:ic_jp_karifurawā.mp3] 
キャベツ | kyabetsu | cabbage | [sound:ic_jp_kyabetsu.mp3] 
セロリ | serori | celery | [sound:ic_jp_serori.mp3] 
なす | nasu | eggplant | [sound:ic_jp_nasu.mp3] 
モヤシ | moyashi | bean sprout | [sound:ic_jp_moyashi.mp3] 
じこ | jiko | accident | [sound:ic_jp_jiko.mp3] 
しり | shiri | buttocks | [sound:ic_jp_shiri.mp3] 
かた | kata | shoulder | [sound:ic_jp_kata.mp3] 
きんにく | kinniku | muscle | [sound:ic_jp_kinniku.mp3] 
ほね | hone | bone | [sound:ic_jp_hone.mp3] 
あごひげ | agohige | beard | [sound:ic_jp_agohige.mp3] 
どう | dō | torso | [sound:ic_jp_dō.mp3] 
ちぶさ | chibusa | breast | [sound:ic_jp_chibusa.mp3] 
ペニス | penisu | penis | [sound:ic_jp_penisu.mp3] 
ちつ | chitsu | vagina | [sound:ic_jp_chitsu.mp3] 
くちひげ | kuchihige | mustache | [sound:ic_jp_kuchihige.mp3] 
あせをかく | ase o kaku | sweat | [sound:ic_jp_ase_o_kaku.mp3] 
くしゃみをする | kushami o suru | sneeze | [sound:ic_jp_kushami_o_suru.mp3] 
しゃっくりをする | shakkuri o suru | hiccup | [sound:ic_jp_shakkuri_o_suru.mp3] 
おしっこをする | oshikko o suru | urinate | [sound:ic_jp_oshikko_o_suru.mp3] 
おならをする | onara o suru | pass gas | [sound:ic_jp_onara_o_suru.mp3] 
せきをする | seki o suru | cough | [sound:ic_jp_seki_o_suru.mp3] 
だいべんをする | daiben o suru | defecate | [sound:ic_jp_daiben_o_suru.mp3] 
いきをする | iki o suru | breathe | [sound:ic_jp_iki_o_suru.mp3] 
つばをはく | tsuba o haku | spit | [sound:ic_jp_tsuba_o_haku.mp3] 
はいしゃ | haisha | dentist | [sound:ic_jp_haisha.mp3] 
むしば | mushiba | cavity | [sound:ic_jp_mushiba.mp3] 
ぜんそく | zensoku | asthma | [sound:ic_jp_zensoku.mp3] 
アレルギー | arerugī | allergy | [sound:ic_jp_arerugī.mp3] 
ほうたい | hōtai | bandage | [sound:ic_jp_hōtai.mp3] 
かんじゃ | kanja | patient | [sound:ic_jp_kanja.mp3] 
かんせん | kansen | infection | [sound:ic_jp_kansen.mp3] 
インフルエンザ | infuruenza | flu | [sound:ic_jp_infuruenza.mp3] 
しょほうせん | shohōsen | prescription | [sound:ic_jp_shohōsen.mp3] 
きゃくしつじょうむいん | kyakushitsu jōmuin | flight attendant | [sound:ic_jp_kyakushitsu_jōmuin.mp3] 
ざせき | zaseki | seat | [sound:ic_jp_zaseki.mp3] 
エコノミークラス | ekonomī kurasu | economy class | [sound:ic_jp_ekonomī_kurasu.mp3] 
フライト | furaito | flight | [sound:ic_jp_furaito.mp3] 
にもつ | nimotsu | luggage | [sound:ic_jp_nimotsu.mp3] 
とうじょうけん | tōjōken | boarding pass | [sound:ic_jp_tōjōken.mp3] 
しゅっぱつゲート | shuppatsu gēto | departure gate | [sound:ic_jp_shuppatsu_gēto.mp3] 
しゅっぱつ | shuppatsu | departure | [sound:ic_jp_shuppatsu.mp3] 
とうちゃく | tōchaku | arrival | [sound:ic_jp_tōchaku.mp3] 
フライトナンバー | furaito nanbā | flight number | [sound:ic_jp_furaito_nanbā.mp3] 
のうぎょう | nōgyō | agriculture | [sound:ic_jp_nōgyō.mp3] 
えいご | eigo | English | [sound:ic_jp_eigo.mp3] 
やくがく | yakugaku | medicine | [sound:ic_jp_yakugaku.mp3] 
きょういく | kyōiku | education | [sound:ic_jp_kyōiku.mp3] 
ビジネス | bijinesu | business | [sound:ic_jp_bijinesu.mp3] 
げんご | gengo | language | [sound:ic_jp_gengo.mp3] 
ちきゅうかがく | chikyū kagaku | earth science | [sound:ic_jp_chikyū_kagaku.mp3] 
かがく | kagaku | science | [sound:ic_jp_kagaku.mp3] 
しゃかいがく | Shakaigaku | sociology | [sound:ic_jp_Shakaigaku.mp3] 
ほうりつ | hōritsu | law | [sound:ic_jp_hōritsu.mp3] 
